IPO_Ticker,IPO_Name,Typo_Ticker,Typo_Name,Distance,Keyboard_Proximate,IPO_Date,Date,Data_Source,Typo_Open,Typo_High,Typo_Close,Typo_Volume,Avg_Volume_5d,Volume_Spike_Ratio,Gap_Up_Pct,Intraday_High_Pct,Reversion_From_High_Pct,Day_Return
AMIX,"AUTONOMIX MEDICAL, INC.",ANIX,"Anixa Biosciences, Inc. - Common Stock",1,True,1/29/2024,2024-01-29,yfinance,4.369999885559082,4.670000076293945,4.440000057220459,94200,137540.0,0.6848916678784354,-0.0022831572193035,0.06864993102774014,-0.049250538611556406,0.013698616715036242
HAO,HAOXI HEALTH TECHNOLOGY LTD,HAL,Halliburton Company Common Stock,1,True,1/26/2024,2024-01-26,yfinance,35.06344369662073,36.00493729895607,35.691104888916016,8835500,12212500.0,0.7234800409416582,-0.0035135874883422276,0.02685114475581528,-0.008716371519668108,0.014324245418053029
HAO,HAOXI HEALTH TECHNOLOGY LTD,HZO,"MarineMax, Inc.  (FL) Common Stock",1,True,1/26/2024,2024-01-26,yfinance,28.8700008392334,29.290000915527344,28.010000228881836,1169900,610840.0,1.9152314845131295,0.01762425044797816,0.014547975894866576,-0.043700943893345806,-0.012689481836521873
YIBO,PLANET IMAGE INTERNATIONAL LTD,GIBO,GIBO Holdings Limited - Class A Ordinary Shares,1,True,1/25/2024,2024-01-25,yfinance,2088.0,2088.60009765625,2088.0,751,21.2,35.424528301886795,0.0009587727708533077,0.0002874030920737548,-0.0002873205152692502,0.0009587727708533077
CGON,"CG ONCOLOGY, INC.",CBON,VanEck China Bond ETF,1,True,1/25/2024,2024-01-25,yfinance,21.18943042405204,21.208676486696106,21.146127700805664,5300,5740.0,0.9233449477351916,0.00022716613710384447,0.0009082859831012158,-0.0029492074118664616,-0.0018168982521672905
JL,J-LONG GROUP LTD,HL,Hecla Mining Company Common Stock,1,True,1/24/2024,2024-01-24,yfinance,4.120274757012849,4.140083752102961,3.8924713134765625,4860600,5261020.0,0.9238892838270906,0.029702893804964024,0.004807687899064577,-0.059808557858430623,-0.027227742830081742
JL,J-LONG GROUP LTD,NL,"NL Industries, Inc. Common Stock",1,True,1/24/2024,2024-01-24,yfinance,4.2420365446964015,4.364638833567544,4.23386287689209,12300,22820.0,0.5390008764241893,-0.0038391634467227795,0.028901752160628118,-0.02996260668114923,-0.005758592398326585
JL,J-LONG GROUP LTD,UL,Unilever PLC American Depositary Shares (each representing One Ordinary Share),1,True,1/24/2024,2024-01-24,yfinance,50.12289504914903,50.154484337954024,49.60692596435547,2223641,2407297.0,0.9237086242370592,0.0027385900612684616,0.0006302367166545135,-0.010917436014474076,-0.0075836810703924
SYNX,SILYNXCOM LTD.,SYBX,"Synlogic, Inc. - Common Stock",1,True,1/12/2024,2024-01-12,yfinance,3.7899999618530273,3.9600000381469727,3.7799999713897705,11100,23420.0,0.4739538855678907,-0.001580622222244554,0.0448549018482913,-0.04545456187455763,-0.004214971656703877
SDHC,SMITH DOUGLAS HOMES CORP.,SCHC,Schwab International Small-Cap Equity ETF,1,True,1/11/2024,2024-01-11,yfinance,31.855882734259964,31.902386962949112,31.80007553100586,279800,582280.0,0.48052483341347807,-0.0008749524652287767,0.0014598317389941412,-0.003207014950388375,-0.0026252845803101084
BRRR,COINSHARES BITCOIN ETF,GRRR,Gorilla Technology Group Inc. - Ordinary shares,1,True,1/11/2024,2024-01-11,yfinance,5.289999961853027,5.409999847412109,5.380000114440918,37530,85318.0,0.439883729107574,0.017307722286360898,0.0226842885490395,-0.00554523730449676,0.034615444572721796
WETH,WETOUCH TECHNOLOGY INC.,AETH,Bitwise Trendwise Ether and Treasuries Rotation Strategy ETF,1,True,2/21/2024,2024-02-21,yfinance,33.61564748623737,33.887976522614956,33.73649215698242,3800,6600.0,0.5757575757575758,-0.03157802193704506,0.00810125809681575,-0.004470150807955197,-0.028096648117629526
WETH,WETOUCH TECHNOLOGY INC.,EETH,ProShares Ether ETF,1,True,2/21/2024,2024-02-21,yfinance,41.60777963055805,42.319343398599436,41.94795608520508,68200,62980.0,1.0828834550651,-0.0338427999178151,0.01710170007530977,-0.008775828818900084,-0.025943701867548637
WETH,WETOUCH TECHNOLOGY INC.,SETH,ProShares Short Ether ETF,1,True,2/21/2024,2024-02-21,yfinance,91.42405063986924,91.42405063986924,90.9190673828125,450,2540.0,0.17716535433070865,0.032516290446968736,0.0,-0.0055235274910967165,0.0268131583316797
CHRO,PELTHOS THERAPEUTICS INC.,CGRO,CoreValues Alpha Greater China Growth ETF,1,True,2/16/2024,2024-02-16,yfinance,18.31920051574707,18.31920051574707,18.31920051574707,100,280.0,0.35714285714285715,0.00828523932575482,0.0,0.0,0.00828523932575482
TELO,"TELOMIR PHARMACEUTICALS, INC.",TWLO,Twilio Inc. Class A Common Stock,1,True,2/09/2024,2024-02-09,yfinance,71.69000244140625,72.58999633789062,71.5999984741211,3310900,2363860.0,1.4006328631983282,0.018902811533788047,0.012553966603920247,-0.013638213441440426,0.017623619286710173
MGX,"METAGENOMI, INC.",MTX,Minerals Technologies Inc. Common Stock,1,True,2/09/2024,2024-02-09,yfinance,68.83692032613939,70.14020076550004,70.13032531738281,135600,292900.0,0.4629566404916354,0.0001434184797269655,0.0189328696459094,-0.00014079583476306925,0.01893552137003773
PMNT,PERFECT MOMENT LTD.,PNNT,PennantPark Investment Corporation Common Stock,1,True,2/08/2024,2024-02-08,yfinance,5.3067521057823,5.314454389774369,5.206624984741211,478300,481140.0,0.9940973521220435,0.007309972594484549,0.00145141205741956,-0.020289835442116922,-0.011695823331420219
AHR,"AMERICAN HEALTHCARE REIT, INC.",AUR,"Aurora Innovation, Inc.  - Class A Common Stock",1,True,2/07/2024,2024-02-07,yfinance,3.1700000762939453,3.180000066757202,3.0799999237060547,3293200,3909000.0,0.8424661038628806,0.0031645538581142403,0.003154571048133175,-0.031446585204987866,-0.025316506313829312
AHR,"AMERICAN HEALTHCARE REIT, INC.",ABR,Arbor Realty Trust Common Stock,1,True,2/07/2024,2024-02-07,yfinance,9.84086256326035,9.84868536760249,9.58271598815918,9332600,8502420.0,1.097640436487494,0.001592266172334748,0.0007949307585440651,-0.0270055717606965,-0.0246816108885543
AHR,"AMERICAN HEALTHCARE REIT, INC.",WHR,Whirlpool Corporation Common Stock,1,True,2/07/2024,2024-02-07,yfinance,96.89463780533393,97.01775624892969,95.90089416503906,866000,1495280.0,0.5791557434059172,0.008697231078308677,0.0012706424873903577,-0.011511934794956104,-0.0016478868876715854
