IPO_Ticker,IPO_Name,Typo_Ticker,Typo_Name,Distance,Keyboard_Proximate,IPO_Date,Date,Data_Source,Typo_Open,Typo_High,Typo_Close,Typo_Volume,Avg_Volume_5d,Volume_Spike_Ratio,Gap_Up_Pct,Intraday_High_Pct,Reversion_From_High_Pct,Day_Return
AMIX,"AUTONOMIX MEDICAL, INC.",ANIX,"Anixa Biosciences, Inc. - Common Stock",1,True,1/29/2024,4.369999885559082,4.670000076293945,4.440000057220459,94200,137540.0,0.6848916678784354,-0.0022831572193035,0.06864993102774014,-0.049250538611556406,0.013698616715036242,2024-01-29,yfinance
HAO,HAOXI HEALTH TECHNOLOGY LTD,HAL,Halliburton Company Common Stock,1,True,1/26/2024,35.06344369662073,36.00493729895607,35.691104888916016,8835500,12212500.0,0.7234800409416582,-0.0035134794573610877,0.02685114475581528,-0.008716371519668108,0.014324355382867452,2024-01-26,yfinance
HAO,HAOXI HEALTH TECHNOLOGY LTD,HZO,"MarineMax, Inc.  (FL) Common Stock",1,True,1/26/2024,28.8700008392334,29.290000915527344,28.010000228881836,1169900,610840.0,1.9152314845131295,0.01762425044797816,0.014547975894866576,-0.043700943893345806,-0.012689481836521873,2024-01-26,yfinance
YIBO,PLANET IMAGE INTERNATIONAL LTD,GIBO,GIBO Holdings Limited - Class A Ordinary Shares,1,True,1/25/2024,2088.0,2088.60009765625,2088.0,751,21.2,35.424528301886795,0.0009587727708533077,0.0002874030920737548,-0.0002873205152692502,0.0009587727708533077,2024-01-25,yfinance
CGON,"CG ONCOLOGY, INC.",CBON,VanEck China Bond ETF,1,True,1/25/2024,21.189436157815457,21.208682225667424,21.146133422851562,5300,5740.0,0.9233449477351916,0.00022752684910834047,0.0009082859831014388,-0.0029492074118665813,-0.0018165382773137994,2024-01-25,yfinance
JL,J-LONG GROUP LTD,HL,Hecla Mining Company Common Stock,1,True,1/24/2024,4.120274252269218,4.14008324493268,3.8924708366394043,4860600,5261020.0,0.9238892838270906,0.029702890370426407,0.004807687899064541,-0.05980855785843072,-0.02722774607472937,2024-01-24,yfinance
JL,J-LONG GROUP LTD,NL,"NL Industries, Inc. Common Stock",1,True,1/24/2024,4.24203750021183,4.364639816699043,4.233863830566406,12300,22820.0,0.5390008764241893,-0.0038384928773412957,0.02890175216062817,-0.02996260668114924,-0.0057579231210158205,2024-01-24,yfinance
JL,J-LONG GROUP LTD,UL,Unilever PLC American Depositary Shares (each representing One Ordinary Share),1,True,1/24/2024,50.12289504914903,50.154484337954024,49.60692596435547,2223641,2407297.0,0.9237086242370592,0.0027385900612684616,0.0006302367166545135,-0.010917436014474076,-0.0075836810703924,2024-01-24,yfinance
SYNX,SILYNXCOM LTD.,SYBX,"Synlogic, Inc. - Common Stock",1,True,1/12/2024,3.7899999618530273,3.9600000381469727,3.7799999713897705,11100,23420.0,0.4739538855678907,-0.001580622222244554,0.0448549018482913,-0.04545456187455763,-0.004214971656703877,2024-01-12,yfinance
SDHC,SMITH DOUGLAS HOMES CORP.,SCHC,Schwab International Small-Cap Equity ETF,1,True,1/11/2024,31.855882734259964,31.902386962949112,31.80007553100586,279800,582280.0,0.48052483341347807,-0.0008750720043545496,0.0014598317389941412,-0.003207014950388375,-0.002625403910019481,2024-01-11,yfinance
BRRR,COINSHARES BITCOIN ETF,GRRR,Gorilla Technology Group Inc. - Ordinary shares,1,True,1/11/2024,5.289999961853027,5.409999847412109,5.380000114440918,37530,85318.0,0.439883729107574,0.017307722286360898,0.0226842885490395,-0.00554523730449676,0.034615444572721796,2024-01-11,yfinance
WETH,WETOUCH TECHNOLOGY INC.,AETH,Bitwise Trendwise Ether and Treasuries Rotation Strategy ETF,1,True,2/21/2024,33.61564748623737,33.887976522614956,33.73649215698242,3800,6600.0,0.5757575757575758,-0.03157802193704506,0.00810125809681575,-0.004470150807955197,-0.028096648117629526,2024-02-21,yfinance
WETH,WETOUCH TECHNOLOGY INC.,EETH,ProShares Ether ETF,1,True,2/21/2024,41.60777963055805,42.319343398599436,41.94795608520508,68200,62980.0,1.0828834550651,-0.03384288549955044,0.01710170007530977,-0.008775828818900084,-0.02594378814898224,2024-02-21,yfinance
WETH,WETOUCH TECHNOLOGY INC.,SETH,ProShares Short Ether ETF,1,True,2/21/2024,91.42405063986924,91.42405063986924,90.9190673828125,450,2540.0,0.17716535433070865,0.03251620148110451,0.0,-0.0055235274910967165,0.026813069857220873,2024-02-21,yfinance
CHRO,PELTHOS THERAPEUTICS INC.,CGRO,CoreValues Alpha Greater China Growth ETF,1,True,2/16/2024,18.31920051574707,18.31920051574707,18.31920051574707,100,280.0,0.35714285714285715,0.00828523932575482,0.0,0.0,0.00828523932575482,2024-02-16,yfinance
