Target,Candidate,Overall_Corr,Best_Time,Best_Time_Corr,Correlation_Lift,General_Corr_At_Best_Time,Distance,Target_Name,Candidate_Name,Buying_Pressure_Corr_All
SOXS,SOLS,-0.04458213245483305,14:30:00,0.2859903298373337,0.33057246229216675,-0.026689430527597965,1,Direxion Daily Semiconductor Bear 3X Shares,Solstice Advanced Materials Inc. - Common Stock,
SOXS,SIXS,-0.8804867612174452,N/A,0.0,,,1,Direxion Daily Semiconductor Bear 3X Shares,ETC 6 Meridian Small Cap Equity ETF,-0.8181246723788609
SOXS,SPXS,0.5921987940893452,15:00:00,0.6094927008470202,0.01729390675767506,0.6499238994157381,1,Direxion Daily Semiconductor Bear 3X Shares,Direxion Daily S&P 500 Bear 3X,
SOXS,STXS,-0.007310167992827957,17:30:00,0.26665636531186526,0.2739665333046932,0.08036610065440251,1,Direxion Daily Semiconductor Bear 3X Shares,"Stereotaxis, Inc. Common Stock",
NVDA,IVDA,0.11826218785824594,17:00:00,0.3794905473147576,0.2612283594565117,0.28401639780666993,1,NVIDIA Corporation - Common Stock,"Iveda Solutions, Inc. - Common Stock",
NVDA,VNDA,0.05181974287160137,17:30:00,0.17229714781339292,0.12047740494179154,0.1286726375469863,1,NVIDIA Corporation - Common Stock,Vanda Pharmaceuticals Inc. - Common Stock,
SIDU,BIDU,0.04632751058552512,20:00:00,0.31083241832699693,0.26450490774147184,0.11730651471943301,1,"Sidus Space, Inc. - Class A Common Stock","Baidu, Inc. - American Depositary Shares, each representing 8 ordinary share",
SIDU,FIDU,0.368054953684738,14:30:00,0.5865258060658691,0.21847085238113112,0.5240999467662413,1,"Sidus Space, Inc. - Class A Common Stock",Fidelity MSCI Industrials Index ETF,
SIDU,IDU,-0.0006492723251782299,17:00:00,0.47840102162257436,0.4790502939477526,0.5396877629864588,1,"Sidus Space, Inc. - Class A Common Stock",iShares U.S. Utilities ETF,
SIDU,MIDU,0.42468715799571444,14:30:00,0.6513855217003997,0.2266983637046852,0.7096206672958514,1,"Sidus Space, Inc. - Class A Common Stock",Direxion Mid Cap Bull 3X Shares,
SIDU,SID,0.1433816975709207,14:30:00,0.5891670683481551,0.44578537077723446,0.35523723856947415,1,"Sidus Space, Inc. - Class A Common Stock",Companhia Siderurgica Nacional S.A. Common Stock,
DVLT,CVLT,0.08923954319876057,15:30:00,0.29398035853871995,0.2047408153399594,0.050933241180788257,1,Datavault AI Inc. - Common Stock,"Commvault Systems, Inc. - Common Stock",
DVLT,VLT,0.05427295383191164,N/A,0.0,,,1,Datavault AI Inc. - Common Stock,Invesco High Income Trust II,0.13898850561821277
BBAI,BBGI,-0.007165371372011822,15:00:00,0.1867158519049249,0.19388122327693671,0.30419002535861794,1,"BigBear.ai, Inc. Common Stock","Beasley Broadcast Group, Inc. - Class A Common Stock",
BBAI,BBSI,0.032127642436185516,15:30:00,0.5667051964735619,0.5345775540373764,-0.3862414772118081,1,"BigBear.ai, Inc. Common Stock","Barrett Business Services, Inc. - Common Stock",
BBAI,BNAI,0.16310912608939385,14:30:00,0.6318635775280131,0.46875445143861927,0.32966383013856876,1,"BigBear.ai, Inc. Common Stock",Brand Engagement Network Inc. - Common Stock,
BBAI,BTAI,0.04144841836137286,14:30:00,0.3306247744797561,0.2891763561183832,0.13499368404075932,1,"BigBear.ai, Inc. Common Stock","BioXcel Therapeutics, Inc. - Common Stock",
BBAI,BZAI,0.2317964455246904,20:00:00,0.27553812180126697,0.043741676276576574,0.06334131012400641,1,"BigBear.ai, Inc. Common Stock","Blaize Holdings, Inc. - Common Stock",
BBAI,MBAI,-0.06367814648167769,N/A,0.0,,,1,"BigBear.ai, Inc. Common Stock",Check-Cap Ltd. - Ordinary Share,-0.18750597657183618
BBAI,ZBAI,0.5143774688641427,N/A,0.0,,,1,"BigBear.ai, Inc. Common Stock",ATIF Holdings Limited - Ordinary Shares,0.7142896799519417
BBAI,BAI,0.24558304039022266,14:30:00,0.5421522462402834,0.2965692058500607,0.30717072445814664,1,"BigBear.ai, Inc. Common Stock",iShares A.I. Innovation and Tech Active ETF,
BBAI,BBAR,0.05729270556209633,18:30:00,0.3143126467860927,0.2570199412239964,0.05133450889524662,1,"BigBear.ai, Inc. Common Stock",Banco BBVA Argentina S.A. ADS,
BBAI,BBWI,0.011119679442240639,14:30:00,0.2916477576083194,0.2805280781660788,-0.014775226966154485,1,"BigBear.ai, Inc. Common Stock","Bath & Body Works, Inc.",
